fips,label,cost
1001,"Autauga County, Alabama",2.488
1003,"Baldwin County, Alabama",2.66
1005,"Barbour County, Alabama",2.386
1007,"Bibb County, Alabama",2.261
1009,"Blount County, Alabama",2.363
1011,"Bullock County, Alabama",2.441
1013,"Butler County, Alabama",2.269
1015,"Calhoun County, Alabama",2.277
1017,"Chambers County, Alabama",2.19
1019,"Cherokee County, Alabama",2.394
1021,"Chilton County, Alabama",2.292
1023,"Choctaw County, Alabama",2.237
1025,"Clarke County, Alabama",2.23
1027,"Clay County, Alabama",2.339
1029,"Cleburne County, Alabama",2.277
1031,"Coffee County, Alabama",2.597
1033,"Colbert County, Alabama",2.05
1035,"Conecuh County, Alabama",2.237
1037,"Coosa County, Alabama",2.55
1039,"Covington County, Alabama",2.237
1041,"Crenshaw County, Alabama",2.394
1043,"Cullman County, Alabama",2.183
1045,"Dale County, Alabama",2.308
1047,"Dallas County, Alabama",2.433
1049,"DeKalb County, Alabama",2.292
1051,"Elmore County, Alabama",2.582
1053,"Escambia County, Alabama",2.23
1055,"Etowah County, Alabama",2.206
1057,"Fayette County, Alabama",2.456
1059,"Franklin County, Alabama",2.214
1061,"Geneva County, Alabama",2.151
1063,"Greene County, Alabama",2.511
1065,"Hale County, Alabama",2.503
1067,"Henry County, Alabama",2.417
1069,"Houston County, Alabama",2.464
1071,"Jackson County, Alabama",2.347
1073,"Jefferson County, Alabama",2.339
1075,"Lamar County, Alabama",2.347
1077,"Lauderdale County, Alabama",2.206
1079,"Lawrence County, Alabama",2.253
1081,"Lee County, Alabama",2.566
1083,"Limestone County, Alabama",2.574
1085,"Lowndes County, Alabama",2.456
1087,"Macon County, Alabama",2.519
1089,"Madison County, Alabama",2.3
1091,"Marengo County, Alabama",2.331
1093,"Marion County, Alabama",2.269
1095,"Marshall County, Alabama",2.323
1097,"Mobile County, Alabama",2.41
1099,"Monroe County, Alabama",2.347
1101,"Montgomery County, Alabama",2.386
1103,"Morgan County, Alabama",2.269
1105,"Perry County, Alabama",2.339
1107,"Pickens County, Alabama",2.519
1109,"Pike County, Alabama",2.48
1111,"Randolph County, Alabama",2.237
1113,"Russell County, Alabama",2.425
1115,"St. Clair County, Alabama",2.449
1117,"Shelby County, Alabama",2.597
1119,"Sumter County, Alabama",2.253
1121,"Talladega County, Alabama",2.386
1123,"Tallapoosa County, Alabama",2.464
1125,"Tuscaloosa County, Alabama",2.613
1127,"Walker County, Alabama",2.316
1129,"Washington County, Alabama",2.378
1131,"Wilcox County, Alabama",2.316
1133,"Winston County, Alabama",2.183
4001,"Apache County, Arizona",2.355
4003,"Cochise County, Arizona",2.198
4005,"Coconino County, Arizona",2.394
4007,"Gila County, Arizona",2.331
4009,"Graham County, Arizona",2.284
4011,"Greenlee County, Arizona",2.222
4012,"La Paz County, Arizona",2.316
4013,"Maricopa County, Arizona",2.323
4015,"Mohave County, Arizona",2.3
4017,"Navajo County, Arizona",2.23
4019,"Pima County, Arizona",2.253
4021,"Pinal County, Arizona",2.198
4023,"Santa Cruz County, Arizona",2.003
4025,"Yavapai County, Arizona",2.355
4027,"Yuma County, Arizona",2.097
5001,"Arkansas County, Arkansas",2.284
5003,"Ashley County, Arkansas",2.175
5005,"Baxter County, Arkansas",2.23
5007,"Benton County, Arkansas",2.277
5009,"Boone County, Arkansas",1.987
5011,"Bradley County, Arkansas",2.167
5013,"Calhoun County, Arkansas",2.151
5015,"Carroll County, Arkansas",2.198
5017,"Chicot County, Arkansas",2.245
5019,"Clark County, Arkansas",2.269
5021,"Clay County, Arkansas",2.018
5023,"Cleburne County, Arkansas",2.3
5025,"Cleveland County, Arkansas",2.206
5027,"Columbia County, Arkansas",2.253
5029,"Conway County, Arkansas",2.097
5031,"Craighead County, Arkansas",2.081
5033,"Crawford County, Arkansas",2.206
