fips,label,cost
5035,"Crittenden County, Arkansas",2.222
5037,"Cross County, Arkansas",2.136
5039,"Dallas County, Arkansas",2.19
5041,"Desha County, Arkansas",2.206
5043,"Drew County, Arkansas",2.19
5045,"Faulkner County, Arkansas",2.386
5047,"Franklin County, Arkansas",2.097
5049,"Fulton County, Arkansas",2.136
5051,"Garland County, Arkansas",2.206
5053,"Grant County, Arkansas",2.292
5055,"Greene County, Arkansas",2.261
5057,"Hempstead County, Arkansas",2.026
5059,"Hot Spring County, Arkansas",2.253
5061,"Howard County, Arkansas",2.128
5063,"Independence County, Arkansas",2.112
5065,"Izard County, Arkansas",2.159
5067,"Jackson County, Arkansas",2.151
5069,"Jefferson County, Arkansas",2.19
5071,"Johnson County, Arkansas",2.128
5073,"Lafayette County, Arkansas",2.214
5075,"Lawrence County, Arkansas",2.144
5077,"Lee County, Arkansas",2.159
5079,"Lincoln County, Arkansas",2.151
5081,"Little River County, Arkansas",2.12
5083,"Logan County, Arkansas",2.112
5085,"Lonoke County, Arkansas",2.363
5087,"Madison County, Arkansas",2.23
5089,"Marion County, Arkansas",2.175
5091,"Miller County, Arkansas",2.245
5093,"Mississippi County, Arkansas",2.089
5095,"Monroe County, Arkansas",2.081
5097,"Montgomery County, Arkansas",2.159
5099,"Nevada County, Arkansas",2.144
5101,"Newton County, Arkansas",2.175
5103,"Ouachita County, Arkansas",2.112
5105,"Perry County, Arkansas",2.331
5107,"Phillips County, Arkansas",2.261
5109,"Pike County, Arkansas",2.183
5111,"Poinsett County, Arkansas",2.026
5113,"Polk County, Arkansas",2.144
5115,"Pope County, Arkansas",2.198
5117,"Prairie County, Arkansas",2.277
5119,"Pulaski County, Arkansas",2.339
5121,"Randolph County, Arkansas",2.112
5123,"St. Francis County, Arkansas",2.042
5125,"Saline County, Arkansas",2.37
5127,"Scott County, Arkansas",2.128
5129,"Searcy County, Arkansas",2.136
5131,"Sebastian County, Arkansas",2.097
5133,"Sevier County, Arkansas",2.12
5135,"Sharp County, Arkansas",2.12
5137,"Stone County, Arkansas",2.167
5139,"Union County, Arkansas",2.214
5141,"Van Buren County, Arkansas",2.292
5143,"Washington County, Arkansas",2.222
5145,"White County, Arkansas",2.23
5147,"Woodruff County, Arkansas",2.198
5149,"Yell County, Arkansas",2.12
6001,"Alameda County, California",2.824
6003,"Alpine County, California",2.668
6005,"Amador County, California",3.121
6007,"Butte County, California",2.456
6009,"Calaveras County, California",3.372
6011,"Colusa County, California",2.331
6013,"Contra Costa County, California",2.691
6015,"Del Norte County, California",2.558
6017,"El Dorado County, California",3.286
6019,"Fresno County, California",2.237
6021,"Glenn County, California",2.417
6023,"Humboldt County, California",2.402
6025,"Imperial County, California",2.057
6027,"Inyo County, California",2.41
6029,"Kern County, California",2.277
6031,"Kings County, California",2.433
6033,"Lake County, California",2.895
6035,"Lassen County, California",2.777
6037,"Los Angeles County, California",2.566
6039,"Madera County, California",2.871
6041,"Marin County, California",3.137
6043,"Mariposa County, California",2.347
6045,"Mendocino County, California",3.129
6047,"Merced County, California",2.363
6049,"Modoc County, California",2.41
6051,"Mono County, California",2.363
6053,"Monterey County, California",2.48
6055,"Napa County, California",3.035
6057,"Nevada County, California",3.56
6059,"Orange County, California",2.613
6061,"Placer County, California",2.73
6063,"Plumas County, California",2.503
6065,"Riverside County, California",2.37
6067,"Sacramento County, California",2.417
6069,"San Benito County, California",3.2
6071,"San Bernardino County, California",2.308
6073,"San Diego County, California",2.621
6075,"San Francisco County, California",3.278
6077,"San Joaquin County, California",2.378
6079,"San Luis Obispo County, California",2.832
6081,"San Mateo County, California",2.855
6083,"Santa Barbara County, California",2.527
6085,"Santa Clara County, California",2.769
6087,"Santa Cruz County, California",2.879
6089,"Shasta County, California",2.316
6091,"Sierra County, California",2.597
6093,"Siskiyou County, California",2.574
6095,"Solano County, California",2.417
6097,"Sonoma County, California",2.824
6099,"Stanislaus County, California",2.402
6101,"Sutter County, California",2.097
6103,"Tehama County, California",2.503
6105,"Trinity County, California",2.464
6107,"Tulare County, California",2.277
6109,"Tuolumne County, California",3.215
6111,"Ventura County, California",2.66
6113,"Yolo County, California",2.543
6115,"Yuba County, California",2.198
8001,"Adams County, Colorado",2.323
8003,"Alamosa County, Colorado",2.441
8005,"Arapahoe County, Colorado",2.464
8007,"Archuleta County, Colorado",2.464
8009,"Baca County, Colorado",2.097
8011,"Bent County, Colorado",2.245
8013,"Boulder County, Colorado",2.762
8014,"Broomfield County, Colorado",2.863
8015,"Chaffee County, Colorado",2.441
8017,"Cheyenne County, Colorado",2.253
8019,"Clear Creek County, Colorado",2.535
8021,"Conejos County, Colorado",2.511
8023,"Costilla County, Colorado",2.527
8025,"Crowley County, Colorado",2.378
8027,"Custer County, Colorado",2.237
8029,"Delta County, Colorado",2.41
8031,"Denver County, Colorado",2.503
8033,"Dolores County, Colorado",2.699
8035,"Douglas County, Colorado",2.558
8037,"Eagle County, Colorado",2.472
8039,"Elbert County, Colorado",2.535
8041,"El Paso County, Colorado",2.363
8043,"Fremont County, Colorado",2.347
8045,"Garfield County, Colorado",2.629
8047,"Gilpin County, Colorado",2.519
8049,"Grand County, Colorado",2.543
8051,"Gunnison County, Colorado",2.543
8053,"Hinsdale County, Colorado",2.824
8055,"Huerfano County, Colorado",2.3
8057,"Jackson County, Colorado",2.722
8059,"Jefferson County, Colorado",2.558
8061,"Kiowa County, Colorado",2.237
8063,"Kit Carson County, Colorado",2.245
8065,"Lake County, Colorado",2.762
8067,"La Plata County, Colorado",2.957
8069,"Larimer County, Colorado",2.488
8071,"Las Animas County, Colorado",2.292
8073,"Lincoln County, Colorado",2.488
8075,"Logan County, Colorado",2.292
8077,"Mesa County, Colorado",2.347
8079,"Mineral County, Colorado",2.754
8081,"Moffat County, Colorado",2.535
8083,"Montezuma County, Colorado",2.37
8085,"Montrose County, Colorado",2.597
8087,"Morgan County, Colorado",2.245
8089,"Otero County, Colorado",2.222
8091,"Ouray County, Colorado",2.629
8093,"Park County, Colorado",2.464
8095,"Phillips County, Colorado",2.339
8097,"Pitkin County, Colorado",2.644
8099,"Prowers County, Colorado",2.23
8101,"Pueblo County, Colorado",2.214
8103,"Rio Blanco County, Colorado",2.535
8105,"Rio Grande County, Colorado",2.543
8107,"Routt County, Colorado",3.161
8109,"Saguache County, Colorado",2.511
8111,"San Juan County, Colorado",2.793
8113,"San Miguel County, Colorado",2.496
8115,"Sedgwick County, Colorado",2.331
8117,"Summit County, Colorado",3.129
8119,"Teller County, Colorado",2.621
8121,"Washington County, Colorado",2.394
8123,"Weld County, Colorado",2.417
8125,"Yuma County, Colorado",2.261
9001,"Fairfield County, Connecticut",2.73
9003,"Hartford County, Connecticut",2.441
9005,"Litchfield County, Connecticut",2.613
9007,"Middlesex County, Connecticut",2.793
9009,"New Haven County, Connecticut",2.433
9011,"New London County, Connecticut",2.73
9013,"Tolland County, Connecticut",2.66
9015,"Windham County, Connecticut",2.331
10001,"Kent County, Delaware",2.323
10003,"New Castle County, Delaware",2.503
10005,"Sussex County, Delaware",2.558
11001,"District of Columbia, District of Columbia",2.941
12001,"Alachua County, Florida",2.769
12003,"Baker County, Florida",2.323
12005,"Bay County, Florida",2.566
12007,"Bradford County, Florida",2.237
12009,"Brevard County, Florida",2.441
12011,"Broward County, Florida",2.605
12013,"Calhoun County, Florida",2.48
12015,"Charlotte County, Florida",2.543
12017,"Citrus County, Florida",2.55
12019,"Clay County, Florida",2.402
12021,"Collier County, Florida",2.621
12023,"Columbia County, Florida",2.331
12027,"DeSoto County, Florida",2.277
12029,"Dixie County, Florida",2.323
12031,"Duval County, Florida",2.464
12033,"Escambia County, Florida",2.37
12035,"Flagler County, Florida",2.683
12037,"Franklin County, Florida",2.206
12039,"Gadsden County, Florida",2.237
12041,"Gilchrist County, Florida",2.589
12043,"Glades County, Florida",2.582
12045,"Gulf County, Florida",2.527
12047,"Hamilton County, Florida",2.261
12049,"Hardee County, Florida",2.151
12051,"Hendry County, Florida",2.331
12053,"Hernando County, Florida",2.433
12055,"Highlands County, Florida",2.3
12057,"Hillsborough County, Florida",2.488
12059,"Holmes County, Florida",2.629
12061,"Indian River County, Florida",2.66
12063,"Jackson County, Florida",2.417
12065,"Jefferson County, Florida",2.386
12067,"Lafayette County, Florida",2.261
12069,"Lake County, Florida",2.417
12071,"Lee County, Florida",2.543
12073,"Leon County, Florida",2.496
12075,"Levy County, Florida",2.347
12077,"Liberty County, Florida",2.441
12079,"Madison County, Florida",2.378
12081,"Manatee County, Florida",2.582
12083,"Marion County, Florida",2.339
12085,"Martin County, Florida",2.902
12086,"Miami-Dade County, Florida",2.636
12087,"Monroe County, Florida",3.121
12089,"Nassau County, Florida",2.715
12091,"Okaloosa County, Florida",2.574
12093,"Okeechobee County, Florida",2.355
12095,"Orange County, Florida",2.433
12097,"Osceola County, Florida",2.308
12099,"Palm Beach County, Florida",2.652
12101,"Pasco County, Florida",2.48
12103,"Pinellas County, Florida",2.543
12105,"Polk County, Florida",2.355
12107,"Putnam County, Florida",2.323
12109,"St. Johns County, Florida",2.863
12111,"St. Lucie County, Florida",2.41
12113,"Santa Rosa County, Florida",2.683
12115,"Sarasota County, Florida",2.683
12117,"Seminole County, Florida",2.464
12119,"Sumter County, Florida",2.597
12121,"Suwannee County, Florida",2.175
12123,"Taylor County, Florida",2.316
12125,"Union County, Florida",2.605
12127,"Volusia County, Florida",2.558
12129,"Wakulla County, Florida",2.347
12131,"Walton County, Florida",2.895
12133,"Washington County, Florida",2.292
13001,"Appling County, Georgia",2.175
13003,"Atkinson County, Georgia",2.128
13005,"Bacon County, Georgia",2.144
13007,"Baker County, Georgia",2.269
13009,"Baldwin County, Georgia",2.316
13011,"Banks County, Georgia",2.261
13013,"Barrow County, Georgia",2.253
13015,"Bartow County, Georgia",2.308
13017,"Ben Hill County, Georgia",2.261
13019,"Berrien County, Georgia",2.284
13021,"Bibb County, Georgia",2.183
13023,"Bleckley County, Georgia",2.269
13025,"Brantley County, Georgia",2.402
13027,"Brooks County, Georgia",2.284
13029,"Bryan County, Georgia",2.613
13031,"Bulloch County, Georgia",2.378
13033,"Burke County, Georgia",2.237
13035,"Butts County, Georgia",1.885
13037,"Calhoun County, Georgia",2.269
13039,"Camden County, Georgia",2.441
13043,"Candler County, Georgia",2.277
13045,"Carroll County, Georgia",2.237
13047,"Catoosa County, Georgia",2.183
13049,"Charlton County, Georgia",2.527
13051,"Chatham County, Georgia",2.425
13053,"Chattahoochee County, Georgia",2.449
13055,"Chattooga County, Georgia",2.167
13057,"Cherokee County, Georgia",2.417
13059,"Clarke County, Georgia",2.363
13061,"Clay County, Georgia",2.261
13063,"Clayton County, Georgia",2.042
13065,"Clinch County, Georgia",2.253
13067,"Cobb County, Georgia",2.472
13069,"Coffee County, Georgia",2.183
13071,"Colquitt County, Georgia",2.214
13073,"Columbia County, Georgia",2.449
13075,"Cook County, Georgia",2.308
13077,"Coweta County, Georgia",2.433
13079,"Crawford County, Georgia",2.214
13081,"Crisp County, Georgia",2.316
13083,"Dade County, Georgia",2.308
13085,"Dawson County, Georgia",2.511
13087,"Decatur County, Georgia",2.378
13089,"DeKalb County, Georgia",2.417
13091,"Dodge County, Georgia",2.183
13093,"Dooly County, Georgia",2.292
13095,"Dougherty County, Georgia",2.214
13097,"Douglas County, Georgia",2.245
13099,"Early County, Georgia",2.378
13101,"Echols County, Georgia",2.3
13103,"Effingham County, Georgia",2.323
13105,"Elbert County, Georgia",2.331
13107,"Emanuel County, Georgia",2.104
13109,"Evans County, Georgia",2.339
13111,"Fannin County, Georgia",2.402
13113,"Fayette County, Georgia",2.582
13115,"Floyd County, Georgia",2.144
13117,"Forsyth County, Georgia",2.558
13119,"Franklin County, Georgia",2.214
13121,"Fulton County, Georgia",2.589
13123,"Gilmer County, Georgia",2.261
13125,"Glascock County, Georgia",2.175
13127,"Glynn County, Georgia",2.66
13129,"Gordon County, Georgia",2.198
13131,"Grady County, Georgia",2.206
13133,"Greene County, Georgia",2.402
13135,"Gwinnett County, Georgia",2.245
13137,"Habersham County, Georgia",2.292
13139,"Hall County, Georgia",2.237
13141,"Hancock County, Georgia",2.331
13143,"Haralson County, Georgia",2.292
13145,"Harris County, Georgia",2.472
13147,"Hart County, Georgia",2.245
13149,"Heard County, Georgia",2.347
13151,"Henry County, Georgia",2.261
13153,"Houston County, Georgia",2.269
13155,"Irwin County, Georgia",2.261
13157,"Jackson County, Georgia",2.566
13159,"Jasper County, Georgia",2.237
13161,"Jeff Davis County, Georgia",2.175
13163,"Jefferson County, Georgia",2.261
13165,"Jenkins County, Georgia",2.3
13167,"Johnson County, Georgia",2.19
13169,"Jones County, Georgia",2.057
13171,"Lamar County, Georgia",2.23
13173,"Lanier County, Georgia",2.292
13175,"Laurens County, Georgia",2.277
13177,"Lee County, Georgia",2.488
13179,"Liberty County, Georgia",2.206
13181,"Lincoln County, Georgia",2.394
13183,"Long County, Georgia",2.206
13185,"Lowndes County, Georgia",2.339
13187,"Lumpkin County, Georgia",2.323
13189,"McDuffie County, Georgia",2.19
13191,"McIntosh County, Georgia",2.41
13193,"Macon County, Georgia",2.284
13195,"Madison County, Georgia",2.456
13197,"Marion County, Georgia",2.23
13199,"Meriwether County, Georgia",1.924
13201,"Miller County, Georgia",2.331
13205,"Mitchell County, Georgia",2.183
13207,"Monroe County, Georgia",2.151
13209,"Montgomery County, Georgia",2.167
13211,"Morgan County, Georgia",2.323
13213,"Murray County, Georgia",2.55
13215,"Muscogee County, Georgia",2.543
13217,"Newton County, Georgia",2.198
13219,"Oconee County, Georgia",2.574
13221,"Oglethorpe County, Georgia",2.441
13223,"Paulding County, Georgia",2.277
13225,"Peach County, Georgia",2.347
13227,"Pickens County, Georgia",2.464
13229,"Pierce County, Georgia",2.128
13231,"Pike County, Georgia",2.261
13233,"Polk County, Georgia",2.112
13235,"Pulaski County, Georgia",2.253
13237,"Putnam County, Georgia",2.245
13239,"Quitman County, Georgia",2.347
13241,"Rabun County, Georgia",2.277
13243,"Randolph County, Georgia",2.378
13245,"Richmond County, Georgia",2.198
13247,"Rockdale County, Georgia",2.23
13249,"Schley County, Georgia",2.277
13251,"Screven County, Georgia",2.316
13253,"Seminole County, Georgia",2.394
13255,"Spalding County, Georgia",2.323
13257,"Stephens County, Georgia",2.245
13259,"Stewart County, Georgia",2.425
13261,"Sumter County, Georgia",2.355
13263,"Talbot County, Georgia",2.41
13265,"Taliaferro County, Georgia",2.425
13267,"Tattnall County, Georgia",2.167
13269,"Taylor County, Georgia",2.277
13271,"Telfair County, Georgia",2.214
13273,"Terrell County, Georgia",2.277
13275,"Thomas County, Georgia",2.222
13277,"Tift County, Georgia",2.378
13279,"Toombs County, Georgia",2.206
13281,"Towns County, Georgia",2.355
13283,"Treutlen County, Georgia",2.206
13285,"Troup County, Georgia",2.167
13287,"Turner County, Georgia",2.3
13289,"Twiggs County, Georgia",2.222
13291,"Union County, Georgia",2.464
13293,"Upson County, Georgia",2.206
13295,"Walker County, Georgia",2.331
13297,"Walton County, Georgia",2.394
13299,"Ware County, Georgia",2.136
13301,"Warren County, Georgia",2.183
13303,"Washington County, Georgia",2.206
13305,"Wayne County, Georgia",2.214
13307,"Webster County, Georgia",2.3
13309,"Wheeler County, Georgia",2.214
13311,"White County, Georgia",2.277
13313,"Whitfield County, Georgia",2.136
13315,"Wilcox County, Georgia",2.284
13317,"Wilkes County, Georgia",2.41
13319,"Wilkinson County, Georgia",2.222
13321,"Worth County, Georgia",2.237
16001,"Ada County, Idaho",2.488
16003,"Adams County, Idaho",2.722
16005,"Bannock County, Idaho",2.269
16007,"Bear Lake County, Idaho",2.269
16009,"Benewah County, Idaho",2.449
16011,"Bingham County, Idaho",2.3
16013,"Blaine County, Idaho",3.348
16015,"Boise County, Idaho",2.386
16017,"Bonner County, Idaho",2.558
16019,"Bonneville County, Idaho",2.214
16021,"Boundary County, Idaho",2.66
16023,"Butte County, Idaho",2.261
16025,"Camas County, Idaho",2.284
16027,"Canyon County, Idaho",2.198
16029,"Caribou County, Idaho",2.237
16031,"Cassia County, Idaho",2.417
16033,"Clark County, Idaho",2.331
16035,"Clearwater County, Idaho",2.441
16037,"Custer County, Idaho",2.668
16039,"Elmore County, Idaho",2.386
16041,"Franklin County, Idaho",2.277
16043,"Fremont County, Idaho",2.417
16045,"Gem County, Idaho",2.378
16047,"Gooding County, Idaho",2.245
16049,"Idaho County, Idaho",2.488
16051,"Jefferson County, Idaho",2.519
16053,"Jerome County, Idaho",2.261
16055,"Kootenai County, Idaho",2.41
16057,"Latah County, Idaho",2.363
16059,"Lemhi County, Idaho",2.762
16061,"Lewis County, Idaho",2.394
16063,"Lincoln County, Idaho",2.261
16065,"Madison County, Idaho",2.676
16067,"Minidoka County, Idaho",2.159
16069,"Nez Perce County, Idaho",2.339
16071,"Oneida County, Idaho",2.261
16073,"Owyhee County, Idaho",2.386
16075,"Payette County, Idaho",2.746
16077,"Power County, Idaho",2.261
16079,"Shoshone County, Idaho",2.441
16081,"Teton County, Idaho",2.378
16083,"Twin Falls County, Idaho",2.23
16085,"Valley County, Idaho",2.394
16087,"Washington County, Idaho",2.237
17001,"Adams County, Illinois",2.026
17003,"Alexander County, Illinois",2.112
17005,"Bond County, Illinois",2.12
17007,"Boone County, Illinois",1.995
17009,"Brown County, Illinois",2.026
17011,"Bureau County, Illinois",2.347
17013,"Calhoun County, Illinois",2.277
17015,"Carroll County, Illinois",2.057
17017,"Cass County, Illinois",2.144
17019,"Champaign County, Illinois",2.3
17021,"Christian County, Illinois",1.956
17023,"Clark County, Illinois",2.081
17025,"Clay County, Illinois",2.042
17027,"Clinton County, Illinois",2.003
17029,"Coles County, Illinois",2.011
17031,"Cook County, Illinois",2.261
17033,"Crawford County, Illinois",2.12
17035,"Cumberland County, Illinois",2.057
17037,"DeKalb County, Illinois",2.378
17039,"De Witt County, Illinois",2.237
17041,"Douglas County, Illinois",2.175
17043,"DuPage County, Illinois",2.363
17045,"Edgar County, Illinois",2.167
17047,"Edwards County, Illinois",2.112
17049,"Effingham County, Illinois",2.081
17051,"Fayette County, Illinois",1.885
17053,"Ford County, Illinois",2.245
17055,"Franklin County, Illinois",2.19
17057,"Fulton County, Illinois",1.956
17059,"Gallatin County, Illinois",2.026
17061,"Greene County, Illinois",2.065
17063,"Grundy County, Illinois",2.3
17065,"Hamilton County, Illinois",2.065
17067,"Hancock County, Illinois",2.018
17069,"Hardin County, Illinois",2.003
17071,"Henderson County, Illinois",2.026
17073,"Henry County, Illinois",1.987
17075,"Iroquois County, Illinois",2.237
17077,"Jackson County, Illinois",2.214
17079,"Jasper County, Illinois",2.089
17081,"Jefferson County, Illinois",2.034
17083,"Jersey County, Illinois",2.151
17085,"Jo Daviess County, Illinois",2.417
17087,"Johnson County, Illinois",2.128
17089,"Kane County, Illinois",2.214
17091,"Kankakee County, Illinois",2.23
17093,"Kendall County, Illinois",2.112
17095,"Knox County, Illinois",2.097
17097,"Lake County, Illinois",2.41
17099,"LaSalle County, Illinois",2.112
17101,"Lawrence County, Illinois",2.136
17103,"Lee County, Illinois",1.995
17105,"Livingston County, Illinois",1.948
17107,"Logan County, Illinois",1.964
17109,"McDonough County, Illinois",2.05
17111,"McHenry County, Illinois",2.292
17113,"McLean County, Illinois",2.316
17115,"Macon County, Illinois",2.081
17117,"Macoupin County, Illinois",2.284
17119,"Madison County, Illinois",2.12
17121,"Marion County, Illinois",2.23
17123,"Marshall County, Illinois",2.19
17125,"Mason County, Illinois",2.151
17127,"Massac County, Illinois",2.159
17129,"Menard County, Illinois",2.136
17131,"Mercer County, Illinois",2.151
17133,"Monroe County, Illinois",2.48
17135,"Montgomery County, Illinois",1.956
17137,"Morgan County, Illinois",1.971
17139,"Moultrie County, Illinois",2.073
17141,"Ogle County, Illinois",1.987
17143,"Peoria County, Illinois",2.237
17145,"Perry County, Illinois",2.112
17147,"Piatt County, Illinois",2.23
17149,"Pike County, Illinois",2.003
17151,"Pope County, Illinois",2.097
17153,"Pulaski County, Illinois",2.136
17155,"Putnam County, Illinois",2.128
17157,"Randolph County, Illinois",1.932
17159,"Richland County, Illinois",2.136
17161,"Rock Island County, Illinois",2.12
17163,"St. Clair County, Illinois",2.206
17165,"Saline County, Illinois",1.971
17167,"Sangamon County, Illinois",2.183
17169,"Schuyler County, Illinois",2.026
17171,"Scott County, Illinois",2.018
17173,"Shelby County, Illinois",2.112
17175,"Stark County, Illinois",2.136
17177,"Stephenson County, Illinois",2.089
17179,"Tazewell County, Illinois",2.151
17181,"Union County, Illinois",2.128
17183,"Vermilion County, Illinois",2.003
17185,"Wabash County, Illinois",2.128
17187,"Warren County, Illinois",2.073
17189,"Washington County, Illinois",2.128
17191,"Wayne County, Illinois",2.097
17193,"White County, Illinois",2.128
17195,"Whiteside County, Illinois",2.05
17197,"Will County, Illinois",2.284
17199,"Williamson County, Illinois",2.073
17201,"Winnebago County, Illinois",2.073
17203,"Woodford County, Illinois",2.269
18001,"Adams County, Indiana",2.12
18003,"Allen County, Indiana",2.159
18005,"Bartholomew County, Indiana",2.144
18007,"Benton County, Indiana",2.112
18009,"Blackford County, Indiana",2.026
18011,"Boone County, Indiana",2.237
18013,"Brown County, Indiana",2.144
18015,"Carroll County, Indiana",2.23
18017,"Cass County, Indiana",1.838
18019,"Clark County, Indiana",2.081
18021,"Clay County, Indiana",1.87
18023,"Clinton County, Indiana",1.791
18025,"Crawford County, Indiana",2.104
18027,"Daviess County, Indiana",2.112
18029,"Dearborn County, Indiana",2.003
18031,"Decatur County, Indiana",1.909
18033,"DeKalb County, Indiana",2.198
18035,"Delaware County, Indiana",2.042
18037,"Dubois County, Indiana",2.136
18039,"Elkhart County, Indiana",2.003
18041,"Fayette County, Indiana",2.065
18043,"Floyd County, Indiana",2.183
18045,"Fountain County, Indiana",2.136
18047,"Franklin County, Indiana",2.245
18049,"Fulton County, Indiana",2.151
18051,"Gibson County, Indiana",2.112
18053,"Grant County, Indiana",1.94
18055,"Greene County, Indiana",1.979
18057,"Hamilton County, Indiana",2.55
18059,"Hancock County, Indiana",2.12
18061,"Harrison County, Indiana",2.175
18063,"Hendricks County, Indiana",2.245
18065,"Henry County, Indiana",1.956
18067,"Howard County, Indiana",2.073
18069,"Huntington County, Indiana",1.924
18071,"Jackson County, Indiana",1.909
18073,"Jasper County, Indiana",2.386
18075,"Jay County, Indiana",2.081
18077,"Jefferson County, Indiana",1.917
18079,"Jennings County, Indiana",2.05
18081,"Johnson County, Indiana",2.144
18083,"Knox County, Indiana",2.167
18085,"Kosciusko County, Indiana",2.081
18087,"LaGrange County, Indiana",2.222
18089,"Lake County, Indiana",2.12
18091,"LaPorte County, Indiana",2.05
18093,"Lawrence County, Indiana",1.924
18095,"Madison County, Indiana",2.12
18097,"Marion County, Indiana",2.144
18099,"Marshall County, Indiana",1.971
18101,"Martin County, Indiana",2.011
18103,"Miami County, Indiana",1.901
18105,"Monroe County, Indiana",2.363
18107,"Montgomery County, Indiana",2.19
18109,"Morgan County, Indiana",2.214
18111,"Newton County, Indiana",2.136
18113,"Noble County, Indiana",2.151
18115,"Ohio County, Indiana",2.23
18117,"Orange County, Indiana",2.018
18119,"Owen County, Indiana",2.386
18121,"Parke County, Indiana",2.057
18123,"Perry County, Indiana",2.073
18125,"Pike County, Indiana",2.136
18127,"Porter County, Indiana",2.269
18129,"Posey County, Indiana",2.261
18131,"Pulaski County, Indiana",2.011
18133,"Putnam County, Indiana",1.932
18135,"Randolph County, Indiana",1.799
18137,"Ripley County, Indiana",2.026
18139,"Rush County, Indiana",2.073
18141,"St. Joseph County, Indiana",2.12
18143,"Scott County, Indiana",2.089
18145,"Shelby County, Indiana",1.979
18147,"Spencer County, Indiana",2.136
18149,"Starke County, Indiana",2.261
18151,"Steuben County, Indiana",2.011
18153,"Sullivan County, Indiana",2.198
18155,"Switzerland County, Indiana",2.144
18157,"Tippecanoe County, Indiana",2.175
18159,"Tipton County, Indiana",2.284
